run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,1,1.2100e+00,19.84,21.12,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,2,1.2627e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,3,1.2188e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,4,1.1270e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,5,1.1182e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,6,9.9023e-01,16.20,15.73,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,7,9.6289e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""attn"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""attn+mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,8,8.7451e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""mlp"",""attn"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,9,8.5986e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""mlp"",""attn"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none""]","[[3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,10,8.6035e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""mlp"",""attn"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none""]","[[3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,11,8.0273e-01,13.56,13.15,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none""]","[[3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,12,8.0078e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none""]","[[3,4,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,13,7.5977e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""mlp"",""mlp"",""attn"",""none"",""none"",""none""]","[[3,4,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4]]"
thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,generation,14,7.0459e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""attn"",""none"",""mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""attn"",""mlp"",""mlp"",""attn"",""none"",""none"",""none""]","[[3,4,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4]]"
